time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,datetimes
2023-02-12 22:00:00,1514.74,1495.57,1511.49,29766.51,44819745.28,1513.48,direct,,2023-02-12
2023-02-12 23:00:00,1517.43,1509.83,1513.48,18733.29,28356787.22,1515.42,direct,,2023-02-12
2023-02-13 00:00:00,1524.31,1507.82,1515.42,18732.12,28385786.53,1519.07,direct,,2023-02-13
2023-02-13 01:00:00,1519.95,1504.86,1519.07,32244.9,48687775.16,1507.67,direct,,2023-02-13
2023-02-13 02:00:00,1512.7,1500.31,1507.67,19916.99,30006375.4,1512.39,direct,,2023-02-13
2023-02-13 03:00:00,1517.66,1511.61,1512.39,9035.97,13693365.08,1516.88,direct,,2023-02-13
2023-02-13 04:00:00,1522.27,1516.32,1516.88,13425.53,20398740.5,1518.55,direct,,2023-02-13
2023-02-13 05:00:00,1521.04,1518.16,1518.55,6535.64,9930727.97,1519.14,direct,,2023-02-13
2023-02-13 06:00:00,1520.39,1517.5,1519.14,5059.85,7686845.51,1518.9,direct,,2023-02-13
2023-02-13 07:00:00,1525.82,1518.1,1518.9,17839.16,27174450.25,1523.71,direct,,2023-02-13
